Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
MUSEUM_INTROCAM8	s	museum_introcam8.wav	Hot diggity dog - that's a mouthful.	"Nom d'un chien chaud ! Ça, c'est du hot dog ! "	"Du heiliger Hot-Dog, hier deht's echt um die Wurst!"	"¡Un perrito caliente, está muy rico!"	Mamma che fame! Qui ci vuole uno spuntino.
SAFARI_INTROCAM1	s	safari_introcam1.wav	This one's easy once you get in range!	"Si on te jette par la porte, reviens par la fenêtre !"	"Das is danz leicht, wenn du erst mal in Schussweite bist!"	¡Es muy fácil si te colocas frente a él!	Celca la custodia che custodisce i custodi!
SAFARI_INTROCAM2	s	safari_introcam2.wav	See if you can solve this puzzle Mr. Puddy Taz! It's van-tastic!	M. et Mme Onnette ont une fille... C'est Camille : Camille Onnette.	"Mal sehen, ob du das Rätsel lösen tannst, Mister Mieze-Taz! Es deht danz automatisch!"	"¡A ver si resuelves este enigma, señor lindo! ¡La clave está en la furgoneta!"	"Vediamo se liesci a lisolvele quest'enigma, signol Taz! È fulmineo!"
SAFARI_INTROCAM3	s	safari_introcam3.wav	Careful you don't get wet! Tasmanian Devil's don't like to wash! Which spells P.U.!	"N'oublie pas une chose: Taz échaudé, craint l'eau froide ! Alors sois prudent !"	"Pass auf, dass du nis nass wirst! Tasmanische Teufel waschen sis nämlis nis derne, was soviel heißt wie: Igiiit!"	"¡Cuidado, no te mojes! ¡A los Diablos de Tasmania no les gusta lavarse! "	"Stai attento a non bagnalti! Ai diavoli della Tasmania non piace lavalsi! Lischiano una blutta ""cascata""!"
SAFARI_INTROCAM4	s	safari_introcam4.wav	Look-out for this rickety tower.	Cette tour de contrôle n'a pas l'air très stable. Elle peut TOMBER... Boum !	"Uuh, pass auf diesen wackligen Turm auf. Er tönnte umfallen und es macht 'BUUM'!"	Cuidado con esa vieja (desvencijada)  torre. Puede venirse abajo - y hacer ¡BUM! 	"Attento, c'è un ladal un po' tlaballante. Potlebbe cadele e fale boom!"
SAFARI_INTROCAM5	s	safari_introcam5.wav	The solution is elemen-tree!	"La solution est ""tronc""-quée !"	Die Lösung steckt zwissen Baum und Borke!	¡La solución está en el árbol! (Alternativa: es arbórea)	La soluzione qui è alquanto tlonca!
SAFARI_INTROCAM6	s	safari_introcam6.wav	Did anyone teach you about the burps and the bees?	"Pire que l'abeille tueuse : l'abeille ""rot""-euse !"	Weisst du denn noch wie man ein Bäuerchen macht?!	¿Alguien te ha enseñado que los eructos tienen relación con las abejas?	Non ti hanno mai spiegato la stolia del fiole e dell'ape?
SAFARI_INTROCAM7	s	safari_introcam7.wav	The important thing is not to get stumped.	C'est dur quand on est pris pour cible.	"Die Hauptsache is', dass man nis abstumpft!"	Lo más importante es que no te arranquen.	L'impoltante è che tu non sia tloppo ciocco.
SAFARI_INTROCAM8	s	safari_introcam8.wav	"That mouse sure knows how to get a rise out of that elephant, doesn't he?"	Cet éléphant prendra n'importe quoi pour se débarrasser de cette souris !	"Die Maus weiß echt, wie man den Elefanten zur Reaktion bringt, findest du nis?!"	Ese ratón sabe cómo tomarle el pelo a ese elefante ¿verdad?	"Quel topo sa bene come fal saltale i nelvi a quel povelo elefante, non vi pale?"
AQUA_INTROCAM1	s	aqua_introcam1.wav	It take a lot of hot air to blow up a toy like that!!	Il en faut de l'air pour gonfler une bouée pareille !	"Man braucht 'ne Menge heiße Luft, um so ein Spielzeug aufzupusten!"	¡¡Se necesita mucho aire caliente para cargarse un juguete como  éste!!	È talmente glande che ci vollebbe un ulagano pel falla gilale!
AQUA_INTROCAM2	s	aqua_introcam2.wav	Uh-oh - I've got a sinking feeling that ship isn't going to be around much longer!	"Oh, oh, je leur avais dit à Pearl Harbour: Méfiez-vous des Tazmikazes !"	"Oh-oh, is habe das undute Defühl, dass die Ratten das sinkende Schiff verlassen!"	Uh-oh-¡Me da la sensación de que ese barco no tardará en hundirse como un vaso de agua en un fregadero!	"Oh-oh, ho una paula titanica che quella bella nave non lestelà a galla ancola pel molto!"
AQUA_INTROCAM3	s	aqua_introcam3.wav	You'll have to be pretty light-footed to get this!	Il faut être drôlement agile pour grimper sur un phare !	"Man muss 'ne ziemliche Leuchte sein, um das rauzszukriegen!!"	¡Tienes que ser muy ligero (tener muchas luces) para conseguirlo!	Pel questo ci vuole una vela e ploplia illuminazione!
AQUA_INTROCAM4	s	aqua_introcam4.wav	Oooh - look at the big scrubby tubby!  Let's see it go down the drain!  	"Oooh ! Tant va le lavabo, qu'à la fin , il se bouche !"	"Ohhh, sieh dir mal die droße Badewanne an! Mal sehen, ob du den Abfluss frei triegst!"	Oooh-¡Mira que rechoncho y achaparrado es! ¡A ver cómo se va por el desagüe!  	"Oh, gualda com'è calino questo lavandino. È un velo peccato che sia tappato!"
AQUA_INTROCAM5	s	aqua_introcam5.wav	Somebody better come clean and say who put up that poster!	Plus propre que blanc c'est quoi comme couleur ? Transparent ?	"Jemand sollte mal mit sis ins reine tommen und sagen, wer das Poster abdebracht hat."	¡Que alguien saque algo en limpio y diga quién ha colgado ese cartel!	Ci vuole una bella lavata di capo pel capile dov'è questo postel!
AQUA_INTROCAM6	s	aqua_introcam6.wav	Time to make the hut go kaput!	Il va falloir me raser cette paillote !	Wird Zeit die Hütte taputt zumachen!	¡Es el momento de cargarse la cabaña!	Io quella capanna la buttelei giù!
AQUA_INTROCAM7	s	aqua_introcam7.wav	My goodness - that's a long way down!  This place is a real dive!	"Mes aïeux ! Ça, c'est pas du plongeoir de femmelette !"	Meine Düte - da deht's aber danz schön tief runter! Das is' echt 'n Sprung ins talte Wasser!	"¡Dios mío, qué profundidad! ¡Este lugar es como para hacer submarinismo!"	"Mi lendo conto che ci vuole un bel colaggio, comunque dilei che è ola di tuffalsi nel gioco!"
AQUA_INTROCAM8	s	aqua_introcam8.wav	If you get all fired up then I'm sure that this ship won't be around for much longer!	"Quand on n'a plus de canonnière à la bataille navale, on prend un homme canon !"	"Wenn du risstig losschießt, dann bin is sisser, dass das Schiff nis mehr allzu lange da sein wird."	"¡Si te pones más fogoso, seguro que este barco no durará mucho tiempo!"	Qui ci vollebbe un'idea che fosse una vela cannonata. Solo così liuscilai a laggiungele l'obiettivo!
ICEDOME_INTROCAM1	s	icedome_introcam1.wav	Brrrr! Let's don't stick around here too long! I'll freeze my little tail feathers off!	Brrr ! Ne nous attardons pas ici ! Le canari résiste mal à la congélation !	"Brrrr! Da stockt einem ja das Blut. Lass uns gehen, sons frier' ich mir noch meine tleinen Schwanzfedern ab! "	¡Brrrr! ¡No puedo quedarme ahí como una estaca! ¡Se me van a helar las plumitas de mi cola!	Brrr! Mi si stanno lettelalmente congelando le piume della coda. Questo posto sembla un velo fligolifelo!
ICEDOME_INTROCAM2	s	icedome_introcam2.wav	Wing-a-ding-ding! Cable car on the tracks! And get a load of that sign!  	"Ding, ding, ding ! Le téléphérique est arrivé ! Il y a une affiche à la clef !"	Klingelingeling!! Da tommt eine Seilbahn defahren! Und wirf mal 'n Blick auf das Schild!!	¡Ding-dong-ding-ding! ¡El teleférico está a punto! ¡Echa un vistazo a esa señal!  	Ding. Din. Ding! La funivia è in paltenza. Plova a plendele a boldo il caltellone!
ICEDOME_INTROCAM3	s	icedome_introcam3.wav	"Be an angel and shoot the star off that tree, Puddy Taz."	"Certains ont la tête dans les nuages, d'autres ont la tête dans les étoiles !"	"Sei ein Engel und schieß den Stern da von dem Baum, Mieze-Taz!"	"Pórtate bien y dispara a la estrella de aquel árbol, lindo Taz."	"Devi celcale di puntale in alto, fino alle stelle, diavoletto."
ICEDOME_INTROCAM4	s	icedome_introcam4.wav	"Don't let him get frosty on you, Puddy Taz! Show him what kind of skater you are!"	"Ne te laisse pas refroidir, Tazounet ! Montre-lui de quel patin à glace tu te chauffes !"	"Lass dis nis von ihm auf's Eis legen, Mieze-Taz! Zeig ihm, was für'n duter Eisläufer du bist!"	"¡No te quedes helado, lindo Taz! ¡Demúestrale que eres un buen patinador!"	"Sì, lo so, è un tipo un pò fleddino. Ma fagli vedele come sei blavo a pattinale!"
ICEDOME_INTROCAM5	s	icedome_introcam5.wav	"Remember: sailing and icebergs don't mix, and when they do - head for the lifeboats!"	"N'oublie pas: jouer à saute iceberg en mangeant, ça donne des gaz , et après: aux abris !"	"Verdiss nis, Segeln und Eisberge passen nis zusammen, und wenn doch - dann nix wie ins Rettungsboot!"	"Recuerda: el arte de navegar y los icebergs no se llevan bien, y si los mezclas - ¡Busca un bote salvavidas!"	"Se ti tlovi in alto male e sei cilcondato dagli icebelg, ti conviene celcale subito una scialuppa!"
ICEDOME_INTROCAM6	s	icedome_introcam6.wav	Uh-oh! A stuck van. Maybe you can rock it off - get it?	Oh ! Il faudrait une fusée pour atteindre cette camionnette !	Oh-oh! Ein festsitzender Wagen! Vielleisst triegst du ihn raketenschnell frei - kapiert?!	¡Oh-oh! La camioneta está encallada como una roca. A ver si puedes desatascarla ¿Lo captas?	Oh oh. Un fulgone in panne. Folse ha bisogno di una spintalella. Capito?
ICEDOME_INTROCAM7	s	icedome_introcam7.wav	"We only have ice for you, Puddy Taz.   "	"Tu es vraiment un igloo-ton, Tazounet !"	"Wir müssen erst mal das Eis brechen, Mieze-Taz!"	"Sólo tenemos hielo para ti, lindo Taz.   "	"Desideli qualche cubetto di ghiaccio, diavoletto?"
CONSTRUCT_INTROCAM1	s	construct_introcam1.wav	"If you can get through the maze, you'll be amazed how much control you've got!"	"Si tu veux cette affiche, tire le levier de contrôle et la barrière cherrera !"	"Wenn du es durch das Labyrinth schaffst, wirst du erstaunt sein, wie viel Tontrolle du hast!"	"¡Si consigues superar el laberinto, tendrás un control increíble!"	"Devi liuscile a tlovale l'uscita del labilinto, pel tlovale questo postel, diavoletto!"
CONSTRUCT_INTROCAM2	s	construct_introcam2.wav	Uh-oh! You'll have to be one slick little devil to get this one!	"Ho, Ho ! Attention, ça glisse ! Accroche-toi pour atteindre celle-là !"	"Oh-oh! Du musst 'n ziemlich derissener tleiner Teufel sein, um das zu triegen!"	"¡Oh-oh! ¡Tienes que ser muy hábil, diablillo, para cargarte este cartel!"	"Oh, oh. Devi essele un diavoletto molto fulbo pel tlovale questo postel!"
CONSTRUCT_INTROCAM3	s	construct_introcam3.wav	"Oh, goody! We're gonna have a ball!"	Oh là là ! Perds pas la boule !	"Au, prima! Wir werden 'ne ruhige Tugel ssieben!"	"¡Oh, qué bien! ¡Vamos a jugar a la pelota!"	"Oh, attento! Lischi di essele demolito!"
CONSTRUCT_INTROCAM4	s	construct_introcam4.wav	You might feel a little green if you're afraid of heights!	"Si tu as le vertige, tu risques d'être vert !"	"Du wirst viellesst 'n bisschen drün im Desicht, wenn du Höhenangst hast!"	¡Te pondrás verde de miedo si te aterrorizan las alturas!	"Se soffli di veltigini, questo non lo plendelai mai."
CONSTRUCT_INTROCAM5	s	construct_introcam5.wav	"You can get it - nothing's set in concrete, Puddy Taz. Not yet, at least."	"Tu peux l'avoir ! N'attends pas que le ciment prenne, c'est tout !"	"Du triegst es sson raus - nichts is' festzementiert, Mieze-Taz. Zumindest noch nis!"	"Puedes conseguirlo, no está hecho de cemento, lindo Taz. Por lo menos, por ahora."	"Ce la puoi fale. Il gioco non si è ancola fatto dulo come il cemento, almeno pel il momento."
CONSTRUCT_INTROCAM6	s	construct_introcam6.wav	Whoopee! You've got to spin to win!	Une bétonneuse bétonnée est une bétonneuse heureuse !	"Whoppiiiieh! Du musst (es) drehen, dann wird's dehen!"	¡Eeepa! ¡Un tornado te hará ganar!	"Whoopee! La foltuna gila, lo sai?"
CONSTRUCT_INTROCAM7	s	construct_introcam7.wav	Look! I think there's a signal just for you!	"Pour avoir une image nette, il faut régler l'antenne !"	Kuck mal! Da is' ein Signal für dis!	¡Mira! ¡Me parece que hay una señal para ti!	"Ehi, pel tlovale questo, dovlai mettelti le antenne!"
GRANDC_INTROCAM1	s	grandc_introcam1.wav	"The signs say you can switch it - if you're well-trained, that is!  "	Il va s'agir de ne pas manquer le train !	"Auf den Ssildern steht, du tannst sie shalten, wenn du dut ausdebildet bist. "	"¡Las señales dicen que puedes enchufarlo - si está preparado, por supuesto!  "	I caltelloni possono essele esplosivi - ma tu devi essele sul binalio giusto!
GRANDC_INTROCAM2	s	grandc_introcam2.wav	I sure hope you don't have to get wet!	Ne confonds pas château de sable et château d'eau !	"Is hoffe echt, dass du nis nass werden musst!"	¡Espero que no tengas que remojarte!	Spelo che stavolta tu non debba bagnalti!
GRANDC_INTROCAM3	s	grandc_introcam3.wav	Aww shoot!  How you ever gonna get up there?	"Pour décoller, tu vas devoir prendre un canon."	Das is' ja zum Schießen! Wie willst du da jemals rauftommen?	"¡Aaah, dispara!  ¿Cómo esperas llegar hasta allí?"	"Oh, accidenti! Come falai ad allivale lassù?"
GRANDC_INTROCAM4	s	grandc_introcam4.wav	"This one's a gas, just don't make a spectacle of yourself! "	Il suffit d'un rien pour mettre le feu aux poudres !	"Das läuft ja wie deschmiert, aber ohne Brille wär' das nis passiert!"	"Está chupado, ¡no necesitas gafas para verlo! "	"Pel distluggele questo, ti ci vuole una miscela esplosiva!"
GRANDC_INTROCAM5	s	grandc_introcam5.wav	Don't cave in Puddy Taz! You can find it!	Il faut du nez pour trouver cette grotte !	"In der Höhle des Löwen kannst du es finden, Mieze-Taz!"	"¡Cuidado, lindo Taz! ¡La clave está en la cueva!"	"Sei ploplio un cavelnicolo, Taz, ma ce la puoi fale!"
GRANDC_INTROCAM6	s	grandc_introcam6.wav	Oooh - I smell a Coyote down this hole!	"Ooh,  ça doit être la tanière du coyote !"	"Uuuh, is rieche einen Tojoten in diesem Loch!"	¡Oooh-huelo un Coyote en este agujero!	Oooh - Il tuo stomaco è ploplio un pozzo senza fondo!
GRANDC_INTROCAM7	s	grandc_introcam7.wav	"You can take the high-way, or the Yosemite Sam-way!"	Pas besoin d'être Nostradamus pour repérer ce cactus !	Du tannst die Autobahn oder Yosemite Sams Weg nehmen!	"¡Puedes tomar la autopista o la Sam-pista, amigo!"	La questione qui comincia a falsi un po' spinosa e anche un pò pungente!
DEPTSTR_INTROCAM1	s	deptstr_introcam1.wav	"Ooohh! There'll be a ""hole"" lot of trouble before you can blow this one!"	"Hooo, il va falloir se creuser pour faire sauter celle-là !"	"Ohh! Du pfeifst betimmt sson aus dem letzten Loch, bevor du du das hier packst!"	¡Ooohh! ¡Tendrás un montón de problemas para salir del agujero antes de cargarte ese cartel!	Oh pel tlovale questo postel dovlai lettelalmente infilalti in un buco nelo!
DEPTSTR_INTROCAM2	s	deptstr_introcam2.wav	There's a battery of ways to score if you step lightly! Get it? That was a clue!	"Courir sans se déplacer, ça peut faire marquer des points ! Pigé ? Ça, c'est de l'indice !"	"Es dibt eine danze Batterie Möglichteiten zu punkten, wenn du leise dehst. Verstanden? Das war ein Hinweis!"	¡Tienes una batería (pila) de maneras para ganar puntos si vas con cuidado! ¿Lo captas? ¡Es una pista!	Pel tlovale questo postel devi fale jogging e tenelti in folma. Capito? Questo è un indizio.
DEPTSTR_INTROCAM3	s	deptstr_introcam3.wav	Uh-oh - looks like somebody needs to pull the plug!	"Ho, ho ! Parfois ça ne vaut rien d'être \nbranché !"	"Oh-oh! Siehst aus, als sollte mal jemand den Stecker rausziehen!"	Oh-oh- ¡Me parece que alguien necesita tener más enchufe!	"Oh, oh, folse qualcuno ha bisogno di staccale la spina!"
DEPTSTR_INTROCAM4	s	deptstr_introcam4.wav	There's a sign guaranteed to drive you cuckoo!	"Même s'il n'y a pas de nid, dirige-toi vers le coucou !"	"Sieh doch mal auf das Schild, zum Kuckuck!"	"¡Eres muy cuco, pero no pierdas de vista esta señal!"	"Cucù, cucù e il postel non c'è più!"
DEPTSTR_INTROCAM5	s	deptstr_introcam5.wav	"The kite flies high like a birdy in the sky! Only a ""sucker"" can fail here."	Il faudrait vraiment faire exprès pour rater ce cerf-volant !	Der Drachen fliegt hoch am Himmel wie ein Vögelchen! Hoffentliss hast du deine Pfeile nis zu früh verschossen!	"La cometa vuela como un pájaro. Sólo un bobo (""sucker"")  podría fallar."	Vola in alto l'aquilone come fosse un bell'ailone. Chi non lo tlova è un velo tontolone.
DEPTSTR_INTROCAM6	s	deptstr_introcam6.wav	Sometimes you just have to take a dive to reach the top. 	Il faut souvent se mouiller pour atteindre son but !	"Manchmal muss man einen ziemlichen Abgang machen, um danz nach oben zu tommen!"	A veces hay que sumergirse hasta las profundidades para llegar a la cima.	"Come dice il plovelbio: diavolo bagnato, diavolo foltunato."
DEPTSTR_INTROCAM7	s	deptstr_introcam7.wav	Clean up on aisle four!	Nettoyez-moi cette allée !	Einmal aufwischen in Dang vier!	¡Limpieza en la nave cuatro!	Un addetto alle pulizie al lepalto 4!
DEPTSTR_INTROCAM8	s	deptstr_introcam8.wav	"Maybe from the highest tower you'll get a shot at this one, eh? Whaddya say Puddy Devil?"	"Il faudra prendre de la hauteur pour atteindre celle-là. Qu'est-ce que tu en dis, Tazounet ?"	"Vielleisst tommst du bei dem hier vom höchsten Turm zum Schuss, heh?! Was meinst du, Mieze-Teufel?!"	"Si subes a la torre más alta podrás conseguirlo ¿eh? ¿Qué me dices, lindo Diablo?"	"A volte bisogna puntale molto in alto pel avele successo. Pensi di falcela, diavoletto?"
DEPTSTR_INTROCAM9	s	deptstr_introcam9.wav	Sometimes you just have to take a dive to reach the top.				
GOLDMINE_INTROCAM1	s	goldmine_introcam1.wav	This one's easy if you know the drill !	Ne confonds pas forêt et foret !	"Das is' danz leicht, wenn du den Dreh raus hast!"	¡Éste es fácil si sabes usar el taladro!	Non tlapanalti il celvello pel tlovallo!
GOLDMINE_INTROCAM2	s	goldmine_introcam2.wav	Can you spot this one? It's probably right under your nose.	Inutile d'être une lumière pour voir qu'elle est sous ton nez !	Das findest du sisser vom Fleck weg! Es is' wahrscheinlich direkt unter deiner Nase!	¿No puedes verlo? Lo tienes ante tus narices.	"Se plovi a liflettele, la tua mente si illuminelà e lo tlovelai."
GOLDMINE_INTROCAM3	s	goldmine_introcam3.wav	Can you dig it?	Il faut te creuser !	Hast du's kapiert.	¿Puedes excavar un poco?	Sfondelai mio eloe!
